"cluster.number","Lat","Long","MM","YY","UpAge","LoAge","Ex","Pf","PfPR2.10","Method","EVI","Temperature","Precipitation","Population","ITN","NTL","Urban.Rural","utm_x","utm_y"
146,-6.954213,39.140101,9,2015,4.42,0.58,10,0,0,"RDT",0.34,28.28,1256.92,2.48,63.76,3.93,"U",1179.51848559679,9226.8915282618
147,-6.831913,39.312439,9,2015,4.92,2.5,5,0,0,"RDT",0.28,26.97,1211.87,66.13,57.84,49.81,"U",1198.84619094863,9240.23898517316
148,-6.902499,39.263836,9,2015,3.58,1.17,7,1,14.67,"RDT",0.16,28.8,1264.98,181.26,49.02,47.83,"U",1193.34123393975,9232.46098472473
149,-6.872038,39.229589,9,2015,4,1.08,11,0,0,"RDT",0.17,27.41,1301.26,215.53,55.69,49.13,"U",1189.58008654989,9235.89794512207
150,-6.91669,39.25116,9,2015,4.5,0.5,11,0,0,"RDT",0.19,28.8,1264.98,157.78,56.14,36.76,"U",1191.91186877734,9230.90161681185
151,-6.851374,39.272923,9,2015,4.75,0.67,9,0,0,"RDT",0.26,27.41,1301.26,154.24,43.23,55.68,"U",1194.42584134661,9238.13259786324
152,-6.847078,39.296038,9,2015,4.67,0.83,7,0,0,"RDT",0.15,26.97,1211.87,34.95,40.48,59.5,"U",1197.00110086665,9238.57656825075
153,-6.856927,39.248254,9,2015,4.58,0.5,12,0,0,"RDT",0.18,27.41,1301.26,177.8,43.23,58.53,"U",1191.67621278806,9237.55103165308
154,-6.900156,39.267638,9,2015,4.58,1.25,10,1,10.15,"RDT",0.17,28.8,1264.98,165.56,49.02,47.83,"U",1193.76716104932,9232.71594125198
155,-6.88323,39.247576,9,2015,4.67,0.67,11,0,0,"RDT",0.19,27.41,1264.98,218.52,49.02,47.72,"U",1191.56256445951,9234.6273417523
156,-6.893012,39.288931,9,2015,4.75,0.5,10,0,0,"RDT",0.28,26.97,1172.9,58.74,61.83,29.3,"U",1196.14387820168,9233.47907836501
157,-6.919549,39.235094,9,2015,4.75,1.25,12,1,8.46,"RDT",0.23,28.8,1264.98,25.8,63.19,23.96,"U",1190.12251744141,9230.60724728257
158,-6.88658,39.226471,9,2015,3.75,1,8,0,0,"RDT",0.28,29.51,1264.98,95.58,55.69,30.26,"U",1189.21247642739,9234.28558398035
164,-9.747111,39.558546,12,2015,4.92,1.58,9,3,33.58,"RDT",0.44,29.51,975.49,0.25,66.75,0,"R",1220.83126914481,8915.54005537599
165,-10.307359,39.299378,12,2015,3.58,1.42,3,0,0,"RDT",0.36,29.72,983.4,0.47,67.45,0,"R",1191.03776479883,8853.78686374308
166,-10.479522,39.585894,12,2015,4.92,0.58,14,6,44.63,"RDT",0.46,27.71,972.19,0.46,69.68,0,"R",1222.19747155247,8833.9948219147
167,-9.953624,39.326629,12,2015,3.83,1.25,5,1,20.46,"RDT",0.33,29.13,1007.57,5.63,68.14,0,"R",1194.80582016629,8893.06416829915
173,-9.33288,38.104003,12,2015,4.58,1.08,15,4,27.22,"RDT",0.33,31.38,852.11,0.02,65.82,0,"R",1061.18737047171,8964.28359530209
175,-10.179502,38.941352,12,2015,3.08,1.58,5,0,0,"RDT",0.31,29.04,930.93,2.64,67.33,0,"U",1151.88842735702,8868.75159362359
176,-10.052307,38.869731,12,2015,4.42,1.17,6,3,50.86,"RDT",0.34,30.7,890.08,0.28,67.24,0,"R",1144.25916356864,8883.02895006207
177,-9.97022,38.954302,12,2015,4.75,1.17,11,3,27.74,"RDT",0.4,29.98,893.51,0.96,67.44,0,"R",1153.7385185462,8891.98297115127
178,-9.915895,39.735485,11,2015,4.25,1.17,7,0,0,"RDT",0.3,29.66,863.28,0.9,67.29,0,"U",1239.98354239554,8896.3706341849
179,-10.101727,39.63005,12,2015,4.83,1.42,8,1,12.63,"RDT",0.42,28.18,877,1.46,69.44,0,"U",1227.93279595619,8875.9283415188
180,-10.592642,40.044964,10,2015,3.08,1.08,8,0,0,"RDT",0.42,27.27,1001.93,0.24,67.08,0,"R",1272.48530870352,8820.29868725159
181,-10.250986,40.003298,10,2015,4.75,1.5,7,0,0,"RDT",0.37,28.15,986.36,3.65,73.13,0,"R",1268.74053287091,8858.4453069407
182,-10.449244,40.317138,10,2015,4.42,0.67,11,3,28.55,"RDT",0.44,29.13,1042.37,1.15,69.5,0,"R",1302.85418951338,8835.58124379949
183,-10.943172,39.25377,11,2015,4.42,0.83,7,1,14.77,"RDT",0.34,28.04,932.8,2.69,53.34,5.32,"U",1184.5871968607,8783.19061386274
184,-10.970124,39.438394,11,2015,3.67,0.58,11,1,9.6,"RDT",0.38,28.96,946.07,0.7,62.38,0,"R",1204.81190685981,8779.76448499917
185,-10.732482,39.337576,11,2015,4.92,1.83,8,0,0,"RDT",0.42,26.62,1048.35,0.97,61.68,0,"R",1194.28543985299,8806.42750567078
186,-10.604165,39.260898,11,2015,3.5,0.58,11,1,9.88,"RDT",0.36,26.96,936.02,1.91,65.52,0,"R",1186.14348645449,8820.86839727038
187,-10.619807,38.690938,11,2015,4.67,0.75,9,1,11.56,"RDT",0.34,30.36,874.24,0.48,66.18,0,"R",1123.44557304193,8820.33812441983
188,-10.452093,39.117106,11,2015,4.83,1,7,1,14.63,"RDT",0.37,29.36,958.73,0.65,66.47,0,"R",1170.65906058606,8838.08860238897
189,-11.022154,39.067048,11,2015,4.5,1.5,9,2,22.41,"RDT",0.35,31.9,920.65,0.15,62.69,0,"R",1163.89664967716,8774.83198460645
190,-10.760342,39.629024,11,2015,4.75,1.25,11,2,18.45,"RDT",0.25,27.6,927.97,18.59,62.82,2.97,"U",1226.2776055297,8802.64913972724
191,-10.809565,39.781629,11,2015,4.75,0.5,15,5,34.81,"RDT",0.42,28.54,919.72,0.78,62.83,0,"R",1242.94771889501,8796.80211136515
192,-10.793675,39.517392,11,2015,4.33,1.42,7,3,43.55,"RDT",0.36,28.34,994.15,0.53,58.27,0,"R",1213.91794484437,8799.20533405204
193,-10.490513,39.51665,11,2015,4.83,1,7,6,87.8,"RDT",0.43,28.09,922.44,0.14,67.7,0,"R",1214.54781758923,8832.93142551742
194,-10.285259,40.193153,10,2015,3.58,1.33,5,1,20.39,"RDT",0.24,28.82,1155.41,99.16,54.24,15.63,"U",1289.59705274209,8854.16343973111
195,-10.301151,40.171748,10,2015,4.5,1,10,0,0,"RDT",0.29,27.68,1091.38,46.81,66.1,9.03,"U",1287.19597211105,8852.44641920335
196,-10.921834,38.117584,11,2015,4.08,0.75,9,0,0,"RDT",0.29,30.6,773.47,0.97,64.57,0,"R",1059.90735956779,8787.91630246811
197,-11.142623,38.584472,11,2015,3.92,0.92,6,1,17.14,"RDT",0.3,31.68,795.55,0.41,63.92,0,"R",1110.67526343948,8762.48577041843
198,-10.710143,39.013787,10,2015,4.5,0.67,8,4,52.35,"RDT",0.36,29.62,965.7,0.41,65.37,0,"R",1158.73708072172,8809.62764641068
199,-10.719482,38.797246,10,2015,3.67,2.5,3,0,0,"RDT",0.3,30.76,840.16,14.01,62.07,10.45,"U",1134.92055897119,8809.04755232761
